"Story","Title","Result","Date","Stability","Duration (s)"
"EMR-LIS Work Flows","Lab Odering","SUCCESS","2023-07-17T15:23:21.267Z[Etc/UTC]","0.0","0.19"
"EMR-LIS Work Flows","Report Lab Results","SUCCESS","2023-07-17T15:23:21.538Z[Etc/UTC]","0.0","0.05"
"Add Batch Orders Feature","Add Batch Orders action","SUCCESS","2023-07-17T15:23:21.672Z[Etc/UTC]","0.0","24.32"
"Add Batch Orders Feature","Batch Order Entry Screen","SUCCESS","2023-07-17T15:23:46.041Z[Etc/UTC]","0.0","14.42"
"Add Order","Order Number","SUCCESS","2023-07-17T15:24:00.515Z[Etc/UTC]","0.0","37.37"
"Add Order","Request and Received Date","SUCCESS","2023-07-17T15:24:37.932Z[Etc/UTC]","0.0","20.53"
"Add Order","Reception Time","SUCCESS","2023-07-17T15:24:58.508Z[Etc/UTC]","0.0","27.74"
"Add Order","Site Name","SUCCESS","2023-07-17T15:25:26.282Z[Etc/UTC]","0.0","9.11"
"Add Order","Requester's Name","SUCCESS","2023-07-17T15:25:35.435Z[Etc/UTC]","0.0","13.32"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-07-17T15:25:48.801Z[Etc/UTC]","0.0","31.1"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-07-17T15:26:19.948Z[Etc/UTC]","0.0","9.03"
"Add Order","Add samples","SUCCESS","2023-07-17T15:26:29.048Z[Etc/UTC]","0.0","12.81"
"Add Order","Collection Date","SUCCESS","2023-07-17T15:26:41.902Z[Etc/UTC]","0.0","31.81"
"Add Order","Collection Time","SUCCESS","2023-07-17T15:27:13.749Z[Etc/UTC]","0.0","31.85"
"Add Order","Collector","SUCCESS","2023-07-17T15:27:45.637Z[Etc/UTC]","0.0","9.92"
"Add Order","Available Tests and Panels","SUCCESS","2023-07-17T15:27:55.595Z[Etc/UTC]","0.0","19.82"
"Add Order","Patient Search","SUCCESS","2023-07-17T15:28:15.463Z[Etc/UTC]","0.0","15.72"
"Add Order","Patient Information","SUCCESS","2023-07-17T15:28:31.233Z[Etc/UTC]","0.0","148.34"
"Add Order","Overall Page","SUCCESS","2023-07-17T15:30:59.617Z[Etc/UTC]","0.0","37.86"
"Configurable Items Feature","Order Entry Configuration","SUCCESS","2023-07-17T15:31:37.527Z[Etc/UTC]","0.0","7.71"
"User Login","Failing or Succeeding to Login","SUCCESS","2023-07-17T15:31:45.272Z[Etc/UTC]","0.0","17.27"
"Modify Order","Order Search","SUCCESS","2023-07-17T15:32:02.579Z[Etc/UTC]","0.0","33.62"
"Modify Order","Order Information","SUCCESS","2023-07-17T15:32:36.244Z[Etc/UTC]","0.0","39.91"
"Modify Order","Current Test Information","SUCCESS","2023-07-17T15:33:16.192Z[Etc/UTC]","0.0","31.34"
"Modify Order","Available Test Information","SUCCESS","2023-07-17T15:33:47.58Z[Etc/UTC]","0.0","10.06"
"Modify Order","Add Order","SUCCESS","2023-07-17T15:33:57.678Z[Etc/UTC]","0.0","35.42"
"Modify Order","Collection Date","SUCCESS","2023-07-17T15:34:33.134Z[Etc/UTC]","0.0","48.13"
