"Story","Title","Result","Date","Stability","Duration (s)"
"Add Order","Order Number","SUCCESS","2023-03-16T20:26:37.552Z[Etc/UTC]","0.0","30.23"
"Add Order","Request and Received Date","SUCCESS","2023-03-16T20:27:07.822Z[Etc/UTC]","0.0","16.61"
"Add Order","Reception Time","SUCCESS","2023-03-16T20:27:24.462Z[Etc/UTC]","0.0","28.05"
"Add Order","Site Name","SUCCESS","2023-03-16T20:27:52.547Z[Etc/UTC]","0.0","9.14"
"Add Order","Requester's Name","SUCCESS","2023-03-16T20:28:01.725Z[Etc/UTC]","0.0","13.16"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-03-16T20:28:14.914Z[Etc/UTC]","0.0","29.51"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-03-16T20:28:44.452Z[Etc/UTC]","0.0","8.54"
"Add Order","Add samples","SUCCESS","2023-03-16T20:28:53.028Z[Etc/UTC]","0.0","11.95"
"Add Order","Collection Date","SUCCESS","2023-03-16T20:29:05.016Z[Etc/UTC]","0.0","31.12"
"Add Order","Collection Time","SUCCESS","2023-03-16T20:29:36.17Z[Etc/UTC]","0.0","31.67"
"Add Order","Collector","SUCCESS","2023-03-16T20:30:07.869Z[Etc/UTC]","0.0","9.6"
"Add Order","Available Tests and Panels","SUCCESS","2023-03-16T20:30:17.496Z[Etc/UTC]","0.0","15.82"
"Add Order","Patient Search","SUCCESS","2023-03-16T20:30:33.348Z[Etc/UTC]","0.0","14.1"
"Add Order","Patient Information","SUCCESS","2023-03-16T20:30:47.487Z[Etc/UTC]","0.0","140.13"
"Add Order","Overall Page","SUCCESS","2023-03-16T20:33:07.653Z[Etc/UTC]","0.0","34.95"
