"Story","Title","Result","Date","Stability","Duration (s)"
"Add Order","Order Number","SUCCESS","2023-05-15T23:22:30.646Z[Etc/UTC]","0.0","42.58"
"Add Order","Request and Received Date","SUCCESS","2023-05-15T23:23:13.258Z[Etc/UTC]","0.0","22.6"
"Add Order","Reception Time","SUCCESS","2023-05-15T23:23:35.898Z[Etc/UTC]","0.0","32.94"
"Add Order","Site Name","SUCCESS","2023-05-15T23:24:08.875Z[Etc/UTC]","0.0","11.4"
"Add Order","Requester's Name","SUCCESS","2023-05-15T23:24:20.319Z[Etc/UTC]","0.0","16.23"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-05-15T23:24:36.585Z[Etc/UTC]","0.0","35.8"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-05-15T23:25:12.424Z[Etc/UTC]","0.0","10.75"
"Add Order","Add samples","SUCCESS","2023-05-15T23:25:23.222Z[Etc/UTC]","0.0","13.66"
"Add Order","Collection Date","SUCCESS","2023-05-15T23:25:36.922Z[Etc/UTC]","0.0","35.09"
"Add Order","Collection Time","SUCCESS","2023-05-15T23:26:12.079Z[Etc/UTC]","0.0","37.02"
"Add Order","Collector","SUCCESS","2023-05-15T23:26:49.13Z[Etc/UTC]","0.0","11.75"
"Add Order","Available Tests and Panels","SUCCESS","2023-05-15T23:27:00.923Z[Etc/UTC]","0.0","18.73"
"Add Order","Patient Search","SUCCESS","2023-05-15T23:27:19.687Z[Etc/UTC]","0.0","15.88"
"Add Order","Patient Information","SUCCESS","2023-05-15T23:27:35.599Z[Etc/UTC]","0.0","146.89"
"Add Order","Overall Page","SUCCESS","2023-05-15T23:30:02.525Z[Etc/UTC]","0.0","38.21"
