"Story","Title","Result","Date","Stability","Duration (s)"
"Add Order","Order Number","SUCCESS","2023-03-20T11:40:24.054Z[Etc/UTC]","0.0","39.37"
"Add Order","Request and Received Date","SUCCESS","2023-03-20T11:41:03.505Z[Etc/UTC]","0.0","21.0"
"Add Order","Reception Time","SUCCESS","2023-03-20T11:41:24.557Z[Etc/UTC]","0.0","29.72"
"Add Order","Site Name","SUCCESS","2023-03-20T11:41:54.327Z[Etc/UTC]","0.0","10.28"
"Add Order","Requester's Name","SUCCESS","2023-03-20T11:42:04.653Z[Etc/UTC]","0.0","15.12"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-03-20T11:42:19.824Z[Etc/UTC]","0.0","33.29"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-03-20T11:42:53.155Z[Etc/UTC]","0.0","9.32"
"Add Order","Add samples","SUCCESS","2023-03-20T11:43:02.537Z[Etc/UTC]","0.0","13.06"
"Add Order","Collection Date","SUCCESS","2023-03-20T11:43:15.637Z[Etc/UTC]","0.0","33.29"
"Add Order","Collection Time","SUCCESS","2023-03-20T11:43:48.972Z[Etc/UTC]","0.0","33.18"
"Add Order","Collector","SUCCESS","2023-03-20T11:44:22.189Z[Etc/UTC]","0.0","10.29"
"Add Order","Available Tests and Panels","SUCCESS","2023-03-20T11:44:32.521Z[Etc/UTC]","0.0","19.12"
"Add Order","Patient Search","SUCCESS","2023-03-20T11:44:51.694Z[Etc/UTC]","0.0","15.95"
"Add Order","Patient Information","SUCCESS","2023-03-20T11:45:07.696Z[Etc/UTC]","0.0","147.08"
"Add Order","Overall Page","SUCCESS","2023-03-20T11:47:34.816Z[Etc/UTC]","0.0","37.81"
