"Story","Title","Result","Date","Stability","Duration (s)"
"Add Order","Order Number","SUCCESS","2023-03-20T16:32:10.88Z[Etc/UTC]","0.0","35.92"
"Add Order","Request and Received Date","SUCCESS","2023-03-20T16:32:46.853Z[Etc/UTC]","0.0","20.34"
"Add Order","Reception Time","SUCCESS","2023-03-20T16:33:07.243Z[Etc/UTC]","0.0","28.29"
"Add Order","Site Name","SUCCESS","2023-03-20T16:33:35.579Z[Etc/UTC]","0.0","9.36"
"Add Order","Requester's Name","SUCCESS","2023-03-20T16:33:44.989Z[Etc/UTC]","0.0","13.44"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-03-20T16:33:58.469Z[Etc/UTC]","0.0","30.38"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-03-20T16:34:28.89Z[Etc/UTC]","0.0","9.01"
"Add Order","Add samples","SUCCESS","2023-03-20T16:34:37.961Z[Etc/UTC]","0.0","12.84"
"Add Order","Collection Date","SUCCESS","2023-03-20T16:34:50.861Z[Etc/UTC]","0.0","31.67"
"Add Order","Collection Time","SUCCESS","2023-03-20T16:35:22.571Z[Etc/UTC]","0.0","32.28"
"Add Order","Collector","SUCCESS","2023-03-20T16:35:54.893Z[Etc/UTC]","0.0","9.81"
"Add Order","Available Tests and Panels","SUCCESS","2023-03-20T16:36:04.751Z[Etc/UTC]","0.0","18.2"
"Add Order","Patient Search","SUCCESS","2023-03-20T16:36:22.994Z[Etc/UTC]","0.0","15.69"
"Add Order","Patient Information","SUCCESS","2023-03-20T16:36:38.726Z[Etc/UTC]","0.0","145.17"
"Add Order","Overall Page","SUCCESS","2023-03-20T16:39:03.935Z[Etc/UTC]","0.0","36.94"
