"Story","Title","Result","Date","Stability","Duration (s)"
"Add Batch Orders Feature","Add Batch Orders action","ERROR","2023-03-16T20:26:09.623Z[Etc/UTC]","0.0","14.51"
"Modify Order","Order Search","ERROR","2023-03-16T20:34:05.856Z[Etc/UTC]","0.0","26.72"
"Modify Order","Order Information","FAILURE","2023-03-16T20:34:32.61Z[Etc/UTC]","0.0","7.09"
"Modify Order","Current Test Information","FAILURE","2023-03-16T20:34:39.735Z[Etc/UTC]","0.0","7.09"
"Modify Order","Available Test Information","FAILURE","2023-03-16T20:34:46.856Z[Etc/UTC]","0.0","7.37"
"Modify Order","Add Order","ERROR","2023-03-16T20:34:54.252Z[Etc/UTC]","0.0","59.26"
"Modify Order","Collection Date","ERROR","2023-03-16T20:35:53.548Z[Etc/UTC]","0.0","237.87"
"Modify Order","Collection Time","ERROR","2023-03-16T20:39:51.447Z[Etc/UTC]","0.0","297.49"
"Modify Order","Add Tests","ERROR","2023-03-16T20:44:48.967Z[Etc/UTC]","0.0","118.62"
"Patient Entry","Verification","FAILURE","2023-03-16T20:49:31.958Z[Etc/UTC]","0.0","11.99"
"Referral Work Flow","Register a patient's sample for Covid testing and send the lab request and sample to the Central Health Laboratory","ERROR","2023-03-16T20:50:50.32Z[Etc/UTC]","0.0","159.58"
"Results Entry","Overall Page","FAILURE","2023-03-16T20:55:30.656Z[Etc/UTC]","0.0","36.08"
"Results Entry","Changing Results","FAILURE","2023-03-16T20:56:52.486Z[Etc/UTC]","0.0","10.9"
"Test Management Feature","Open Rename Existing Test Names page","ERROR","2023-03-16T20:57:09.635Z[Etc/UTC]","0.0","115.95"
"Test Management Feature","User rejects the testName updates","ERROR","2023-03-16T20:59:05.621Z[Etc/UTC]","0.0","57.96"
"Test Management Feature","User cancels the testName updates","ERROR","2023-03-16T21:00:03.618Z[Etc/UTC]","0.0","58.12"
"Test Management Feature","Add new tests","ERROR","2023-03-16T21:01:01.773Z[Etc/UTC]","0.0","71.1"
"Test Management Feature","Verify Added new testName","FAILURE","2023-03-16T21:02:12.908Z[Etc/UTC]","0.0","19.71"
"Test Management Feature","Modify test details","ERROR","2023-03-16T21:02:32.647Z[Etc/UTC]","0.0","100.22"
"Validation","Validation","FAILURE","2023-03-16T21:04:32.305Z[Etc/UTC]","0.0","65.18"
"Validation","Overall Page","FAILURE","2023-03-16T21:05:37.516Z[Etc/UTC]","0.0","12.81"
"WorkPlan Feature","Work plan by Panel","FAILURE","2023-03-16T21:06:22.683Z[Etc/UTC]","0.0","12.81"
"WorkPlan Feature","Verification","ERROR","2023-03-16T21:06:44.396Z[Etc/UTC]","0.0","72.32"
