"Story","Title","Result","Date","Stability","Duration (s)"
"Add Batch Orders Feature","Add Batch Orders action","ERROR","2023-03-16T17:39:39.336Z[Etc/UTC]","0.0","15.48"
"Modify Order","Order Search","ERROR","2023-03-16T17:48:13.762Z[Etc/UTC]","0.0","81.68"
"Modify Order","Add Order","ERROR","2023-03-16T17:50:00.282Z[Etc/UTC]","0.0","60.42"
"Modify Order","Collection Date","ERROR","2023-03-16T17:51:00.745Z[Etc/UTC]","0.0","241.47"
"Modify Order","Collection Time","ERROR","2023-03-16T17:55:02.255Z[Etc/UTC]","0.0","301.52"
"Modify Order","Add Tests","ERROR","2023-03-16T18:00:03.814Z[Etc/UTC]","0.0","120.67"
"Test Management Feature","Open Rename Existing Test Names page","ERROR","2023-03-16T18:12:45.854Z[Etc/UTC]","0.0","119.15"
"Test Management Feature","User rejects the testName updates","ERROR","2023-03-16T18:14:45.042Z[Etc/UTC]","0.0","59.19"
"Test Management Feature","User cancels the testName updates","ERROR","2023-03-16T18:15:44.274Z[Etc/UTC]","0.0","59.57"
"Test Management Feature","Add new tests","ERROR","2023-03-16T18:16:43.887Z[Etc/UTC]","0.0","73.87"
"Test Management Feature","Modify test details","ERROR","2023-03-16T18:18:20.906Z[Etc/UTC]","0.0","105.61"
"WorkPlan Feature","Verification","ERROR","2023-03-16T18:22:51.944Z[Etc/UTC]","0.0","73.45"
