"Story","Title","Result","Date","Stability","Duration (s)"
"Add Order","Order Number","SUCCESS","2023-03-27T08:50:37.663Z[Etc/UTC]","0.0","42.66"
"Add Order","Request and Received Date","SUCCESS","2023-03-27T08:51:20.365Z[Etc/UTC]","0.0","22.09"
"Add Order","Reception Time","SUCCESS","2023-03-27T08:51:42.496Z[Etc/UTC]","0.0","32.13"
"Add Order","Site Name","SUCCESS","2023-03-27T08:52:14.664Z[Etc/UTC]","0.0","10.8"
"Add Order","Requester's Name","SUCCESS","2023-03-27T08:52:25.504Z[Etc/UTC]","0.0","15.95"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-03-27T08:52:41.521Z[Etc/UTC]","0.0","34.53"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-03-27T08:53:16.084Z[Etc/UTC]","0.0","10.0"
"Add Order","Add samples","SUCCESS","2023-03-27T08:53:26.128Z[Etc/UTC]","0.0","13.66"
"Add Order","Collection Date","SUCCESS","2023-03-27T08:53:39.826Z[Etc/UTC]","0.0","34.33"
"Add Order","Collection Time","SUCCESS","2023-03-27T08:54:14.191Z[Etc/UTC]","0.0","36.28"
"Add Order","Collector","SUCCESS","2023-03-27T08:54:50.509Z[Etc/UTC]","0.0","11.34"
"Add Order","Available Tests and Panels","SUCCESS","2023-03-27T08:55:01.887Z[Etc/UTC]","0.0","17.72"
"Add Order","Patient Search","SUCCESS","2023-03-27T08:55:19.639Z[Etc/UTC]","0.0","15.42"
"Add Order","Patient Information","SUCCESS","2023-03-27T08:55:35.095Z[Etc/UTC]","0.0","142.86"
"Add Order","Overall Page","SUCCESS","2023-03-27T08:57:57.986Z[Etc/UTC]","0.0","36.92"
