"Story","Title","Result","Date","Stability","Duration (s)"
"Add Order","Order Number","SUCCESS","2023-02-25T20:30:12.123Z[Etc/UTC]","0.0","17.75"
"Add Order","Request and Received Date","SUCCESS","2023-02-25T20:30:29.907Z[Etc/UTC]","0.0","17.59"
"Add Order","Reception Time","SUCCESS","2023-02-25T20:30:47.527Z[Etc/UTC]","0.0","29.39"
"Add Order","Site Name","SUCCESS","2023-02-25T20:31:16.952Z[Etc/UTC]","0.0","9.53"
"Add Order","Requester's Name","SUCCESS","2023-02-25T20:31:26.517Z[Etc/UTC]","0.0","13.1"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-02-25T20:31:39.648Z[Etc/UTC]","0.0","31.75"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-02-25T20:32:11.432Z[Etc/UTC]","0.0","9.18"
"Add Order","Add samples","SUCCESS","2023-02-25T20:32:20.646Z[Etc/UTC]","0.0","9.21"
"Add Order","Collection Date","SUCCESS","2023-02-25T20:32:29.888Z[Etc/UTC]","0.0","32.96"
"Add Order","Collection Time","SUCCESS","2023-02-25T20:33:02.877Z[Etc/UTC]","0.0","33.6"
"Add Order","Collector","SUCCESS","2023-02-25T20:33:36.507Z[Etc/UTC]","0.0","10.67"
"Add Order","Available Tests and Panels","SUCCESS","2023-02-25T20:33:47.212Z[Etc/UTC]","0.0","17.06"
"Add Order","Patient Search","SUCCESS","2023-02-25T20:34:04.301Z[Etc/UTC]","0.0","14.75"
"Add Order","Patient Information","SUCCESS","2023-02-25T20:34:19.087Z[Etc/UTC]","0.0","141.66"
"Add Order","Overall Page","SUCCESS","2023-02-25T20:36:40.78Z[Etc/UTC]","0.0","36.61"
