"Story","Title","Result","Date","Stability","Duration (s)"
"EMR-LIS Work Flows","Lab Odering","SUCCESS","2023-03-20T16:31:32.431Z[Etc/UTC]","0.0","0.18"
"EMR-LIS Work Flows","Report Lab Results","SUCCESS","2023-03-20T16:31:32.712Z[Etc/UTC]","0.0","0.05"
"Add Batch Orders Feature","Add Batch Orders action","SUCCESS","2023-03-20T16:31:32.842Z[Etc/UTC]","0.0","23.33"
"Add Batch Orders Feature","Batch Order Entry Screen","SUCCESS","2023-03-20T16:31:56.227Z[Etc/UTC]","0.0","14.61"
"Add Order","Order Number","SUCCESS","2023-03-20T16:32:10.88Z[Etc/UTC]","0.0","35.92"
"Add Order","Request and Received Date","SUCCESS","2023-03-20T16:32:46.853Z[Etc/UTC]","0.0","20.34"
"Add Order","Reception Time","SUCCESS","2023-03-20T16:33:07.243Z[Etc/UTC]","0.0","28.29"
"Add Order","Site Name","SUCCESS","2023-03-20T16:33:35.579Z[Etc/UTC]","0.0","9.36"
"Add Order","Requester's Name","SUCCESS","2023-03-20T16:33:44.989Z[Etc/UTC]","0.0","13.44"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-03-20T16:33:58.469Z[Etc/UTC]","0.0","30.38"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-03-20T16:34:28.89Z[Etc/UTC]","0.0","9.01"
"Add Order","Add samples","SUCCESS","2023-03-20T16:34:37.961Z[Etc/UTC]","0.0","12.84"
"Add Order","Collection Date","SUCCESS","2023-03-20T16:34:50.861Z[Etc/UTC]","0.0","31.67"
"Add Order","Collection Time","SUCCESS","2023-03-20T16:35:22.571Z[Etc/UTC]","0.0","32.28"
"Add Order","Collector","SUCCESS","2023-03-20T16:35:54.893Z[Etc/UTC]","0.0","9.81"
"Add Order","Available Tests and Panels","SUCCESS","2023-03-20T16:36:04.751Z[Etc/UTC]","0.0","18.2"
"Add Order","Patient Search","SUCCESS","2023-03-20T16:36:22.994Z[Etc/UTC]","0.0","15.69"
"Add Order","Patient Information","SUCCESS","2023-03-20T16:36:38.726Z[Etc/UTC]","0.0","145.17"
"Add Order","Overall Page","SUCCESS","2023-03-20T16:39:03.935Z[Etc/UTC]","0.0","36.94"
"Configurable Items Feature","Order Entry Configuration","SUCCESS","2023-03-20T16:39:40.924Z[Etc/UTC]","0.0","7.39"
"User Login","Failing or Succeeding to Login","SUCCESS","2023-03-20T16:39:48.353Z[Etc/UTC]","0.0","16.61"
"Modify Order","Order Search","SUCCESS","2023-03-20T16:40:05.003Z[Etc/UTC]","0.0","31.94"
"Modify Order","Order Information","SUCCESS","2023-03-20T16:40:36.987Z[Etc/UTC]","0.0","39.73"
"Modify Order","Current Test Information","SUCCESS","2023-03-20T16:41:16.785Z[Etc/UTC]","0.0","30.64"
"Modify Order","Available Test Information","SUCCESS","2023-03-20T16:41:47.468Z[Etc/UTC]","0.0","10.76"
"Modify Order","Add Order","SUCCESS","2023-03-20T16:41:58.268Z[Etc/UTC]","0.0","34.02"
"Modify Order","Collection Date","SUCCESS","2023-03-20T16:42:32.325Z[Etc/UTC]","0.0","48.87"
"Modify Order","Collection Time","SUCCESS","2023-03-20T16:43:21.235Z[Etc/UTC]","0.0","57.31"
"Modify Order","Add Tests","SUCCESS","2023-03-20T16:44:18.591Z[Etc/UTC]","0.0","39.88"
"Modify Order","Verification","SUCCESS","2023-03-20T16:44:58.514Z[Etc/UTC]","0.0","9.76"
"Non Conformity workflow","Search Non Conformity report","SUCCESS","2023-03-20T16:45:08.311Z[Etc/UTC]","0.0","16.14"
"Patient Entry","Patient Search","SUCCESS","2023-03-20T16:45:24.498Z[Etc/UTC]","0.0","60.65"
"Patient Entry","Patient Information","SUCCESS","2023-03-20T16:46:25.189Z[Etc/UTC]","0.0","48.15"
"Patient Entry","Overall Page","SUCCESS","2023-03-20T16:47:13.384Z[Etc/UTC]","0.0","34.44"
"Patient Entry","Verification","SUCCESS","2023-03-20T16:47:47.866Z[Etc/UTC]","0.0","14.54"
"Patient Report","Patient Report With no result yet","SUCCESS","2023-03-20T16:48:02.448Z[Etc/UTC]","0.0","15.97"
"Patient Report","Patient Report With Partial result reported","SUCCESS","2023-03-20T16:48:18.467Z[Etc/UTC]","0.0","54.75"
"Referral Work Flow","Register a patient's sample for Covid testing and send the lab request and sample to the Central Health Laboratory","ERROR","2023-03-20T16:49:13.263Z[Etc/UTC]","0.0","116.83"
"Referral Work Flow","Register test requests sent electronically from the Flu Clinic","SUCCESS","2023-03-20T16:51:10.134Z[Etc/UTC]","0.0","10.56"
"Results Entry","Accessing Results Entry","SUCCESS","2023-03-20T16:51:20.732Z[Etc/UTC]","0.0","15.07"
