"Story","Title","Result","Date","Stability","Duration (s)"
"EMR-LIS Work Flows","Lab Odering","SUCCESS","2023-02-22T11:07:07.056Z[Etc/UTC]","0.0","0.25"
"EMR-LIS Work Flows","Report Lab Results","SUCCESS","2023-02-22T11:07:07.481Z[Etc/UTC]","0.0","0.05"
"Add Order","Order Number","SUCCESS","2023-02-22T11:07:07.616Z[Etc/UTC]","0.0","15.63"
"Add Order","Request and Received Date","SUCCESS","2023-02-22T11:07:23.299Z[Etc/UTC]","0.0","10.4"
"Add Order","Reception Time","SUCCESS","2023-02-22T11:07:33.734Z[Etc/UTC]","0.0","18.24"
"Add Order","Site Name","SUCCESS","2023-02-22T11:07:52.015Z[Etc/UTC]","0.0","6.1"
"Add Order","Requester's Name","SUCCESS","2023-02-22T11:07:58.164Z[Etc/UTC]","0.0","8.83"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-02-22T11:08:07.03Z[Etc/UTC]","0.0","18.09"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-02-22T11:08:25.157Z[Etc/UTC]","0.0","5.65"
"Add Order","Add samples","SUCCESS","2023-02-22T11:08:30.853Z[Etc/UTC]","0.0","7.08"
"Add Order","Collection Date","SUCCESS","2023-02-22T11:08:37.964Z[Etc/UTC]","0.0","21.84"
"Add Order","Collection Time","SUCCESS","2023-02-22T11:08:59.845Z[Etc/UTC]","0.0","22.86"
"Add Order","Collector","SUCCESS","2023-02-22T11:09:22.741Z[Etc/UTC]","0.0","6.61"
"Add Order","Available Tests and Panels","SUCCESS","2023-02-22T11:09:29.382Z[Etc/UTC]","0.0","15.38"
"Add Order","Patient Search","SUCCESS","2023-02-22T11:09:44.8Z[Etc/UTC]","0.0","7.62"
"Add Order","Patient Information","SUCCESS","2023-02-22T11:09:52.456Z[Etc/UTC]","0.0","95.34"
"Add Order","Overall Page","SUCCESS","2023-02-22T11:11:27.83Z[Etc/UTC]","0.0","23.92"
"User Login","Failing or Succeeding to Login","SUCCESS","2023-02-22T11:11:51.783Z[Etc/UTC]","0.0","9.67"
"Modify Order","Verification","SUCCESS","2023-02-22T11:24:04.332Z[Etc/UTC]","0.0","6.96"
"Patient Entry","Patient Search","SUCCESS","2023-02-22T11:24:11.328Z[Etc/UTC]","0.0","27.38"
"Patient Entry","Patient Information","SUCCESS","2023-02-22T11:24:38.789Z[Etc/UTC]","0.0","28.31"
"Patient Entry","Overall Page","SUCCESS","2023-02-22T11:25:07.139Z[Etc/UTC]","0.0","14.1"
"Patient Entry","Verification","SUCCESS","2023-02-22T11:25:21.275Z[Etc/UTC]","0.0","8.39"
"Patient Report","Patient Report With no result yet","SUCCESS","2023-02-22T11:25:29.701Z[Etc/UTC]","0.0","10.15"
"Patient Report","Patient Report With Partial result reported","SUCCESS","2023-02-22T11:25:39.888Z[Etc/UTC]","0.0","45.3"
"Referral Work Flow","Register test requests sent electronically from the Flu Clinic","SUCCESS","2023-02-22T11:28:46.343Z[Etc/UTC]","0.0","4.42"
"Results Entry","Accessing Results Entry","SUCCESS","2023-02-22T11:28:50.796Z[Etc/UTC]","0.0","12.55"
"Results Entry","Searching for test result entry forms","SUCCESS","2023-02-22T11:29:03.382Z[Etc/UTC]","0.0","15.62"
"Results Entry","Results Entry Set-up","SUCCESS","2023-02-22T11:29:19.038Z[Etc/UTC]","0.0","38.63"
"Results Entry","Entering Test Results","SUCCESS","2023-02-22T11:29:57.701Z[Etc/UTC]","0.0","11.36"
"Results Entry","Accept As Is functionality","SUCCESS","2023-02-22T11:31:16.838Z[Etc/UTC]","0.0","9.97"
"Results Entry","Verification","SUCCESS","2023-02-22T11:31:26.842Z[Etc/UTC]","0.0","6.75"
"Test Management Feature","Validate list items in Test Management menu","SUCCESS","2023-02-22T11:31:41.645Z[Etc/UTC]","0.0","4.38"
"Test Management Feature","Open Rename Existing Test Names page","SUCCESS","2023-02-22T11:31:46.066Z[Etc/UTC]","0.0","18.75"
"Test Management Feature","User rejects the testName updates","SUCCESS","2023-02-22T11:32:04.851Z[Etc/UTC]","0.0","8.81"
"Test Management Feature","User cancels the testName updates","SUCCESS","2023-02-22T11:32:13.693Z[Etc/UTC]","0.0","8.55"
"User management Feature","Create new user","SUCCESS","2023-02-22T11:32:22.28Z[Etc/UTC]","0.0","4.4"
"Validation","Verification","SUCCESS","2023-02-22T11:32:51.941Z[Etc/UTC]","0.0","12.78"
