"Story","Title","Result","Date","Stability","Duration (s)"
"Add Order","Order Number","SUCCESS","2023-02-22T11:07:07.616Z[Etc/UTC]","0.0","15.63"
"Add Order","Request and Received Date","SUCCESS","2023-02-22T11:07:23.299Z[Etc/UTC]","0.0","10.4"
"Add Order","Reception Time","SUCCESS","2023-02-22T11:07:33.734Z[Etc/UTC]","0.0","18.24"
"Add Order","Site Name","SUCCESS","2023-02-22T11:07:52.015Z[Etc/UTC]","0.0","6.1"
"Add Order","Requester's Name","SUCCESS","2023-02-22T11:07:58.164Z[Etc/UTC]","0.0","8.83"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-02-22T11:08:07.03Z[Etc/UTC]","0.0","18.09"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-02-22T11:08:25.157Z[Etc/UTC]","0.0","5.65"
"Add Order","Add samples","SUCCESS","2023-02-22T11:08:30.853Z[Etc/UTC]","0.0","7.08"
"Add Order","Collection Date","SUCCESS","2023-02-22T11:08:37.964Z[Etc/UTC]","0.0","21.84"
"Add Order","Collection Time","SUCCESS","2023-02-22T11:08:59.845Z[Etc/UTC]","0.0","22.86"
"Add Order","Collector","SUCCESS","2023-02-22T11:09:22.741Z[Etc/UTC]","0.0","6.61"
"Add Order","Available Tests and Panels","SUCCESS","2023-02-22T11:09:29.382Z[Etc/UTC]","0.0","15.38"
"Add Order","Patient Search","SUCCESS","2023-02-22T11:09:44.8Z[Etc/UTC]","0.0","7.62"
"Add Order","Patient Information","SUCCESS","2023-02-22T11:09:52.456Z[Etc/UTC]","0.0","95.34"
"Add Order","Overall Page","SUCCESS","2023-02-22T11:11:27.83Z[Etc/UTC]","0.0","23.92"
