"Story","Title","Result","Date","Stability","Duration (s)"
"Modify Order","Order Search","FAILURE","2023-02-22T11:12:01.492Z[Etc/UTC]","0.0","32.83"
"Modify Order","Order Information","FAILURE","2023-02-22T11:12:34.357Z[Etc/UTC]","0.0","4.32"
"Modify Order","Current Test Information","FAILURE","2023-02-22T11:12:38.718Z[Etc/UTC]","0.0","4.28"
"Modify Order","Available Test Information","FAILURE","2023-02-22T11:12:43.037Z[Etc/UTC]","0.0","4.19"
"Modify Order","Add Order","ERROR","2023-02-22T11:12:47.265Z[Etc/UTC]","0.0","56.47"
"Modify Order","Collection Date","ERROR","2023-02-22T11:13:43.767Z[Etc/UTC]","0.0","225.59"
"Modify Order","Collection Time","ERROR","2023-02-22T11:17:29.393Z[Etc/UTC]","0.0","281.91"
"Modify Order","Add Tests","ERROR","2023-02-22T11:22:11.334Z[Etc/UTC]","0.0","112.96"
"Referral Work Flow","Register a patient's sample for Covid testing and send the lab request and sample to the Central Health Laboratory","ERROR","2023-02-22T11:26:25.227Z[Etc/UTC]","0.0","141.09"
"Results Entry","Overall Page","ERROR","2023-02-22T11:30:09.096Z[Etc/UTC]","0.0","41.42"
"Results Entry","Changing Results","FAILURE","2023-02-22T11:31:33.624Z[Etc/UTC]","0.0","7.97"
"Validation","Validation","ERROR","2023-02-22T11:32:26.711Z[Etc/UTC]","0.0","14.76"
"Validation","Overall Page","FAILURE","2023-02-22T11:32:41.506Z[Etc/UTC]","0.0","10.4"
"WorkPlan Feature","Work plan by Test","FAILURE","2023-02-22T11:33:04.75Z[Etc/UTC]","0.0","5.5"
"WorkPlan Feature","Work plan by Panel","FAILURE","2023-02-22T11:33:10.283Z[Etc/UTC]","0.0","7.22"
"WorkPlan Feature","Work plan by Unit","FAILURE","2023-02-22T11:33:17.533Z[Etc/UTC]","0.0","4.66"
"WorkPlan Feature","Verification","ERROR","2023-02-22T11:33:22.227Z[Etc/UTC]","0.0","7.9"
